run_id,scenario,csv_path,metadata_path,sample_count,valid_sample_count,random_seed,status,issues
ambient_to_cold-20273326-75d9a407ecb1,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273326-75d9a407ecb1.csv,ml/data/synthetic_max/ambient_to_cold-20273326-75d9a407ecb1.metadata.json,121,121,20273326,pass,
ambient_to_cold-20273327-1aec234ca259,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273327-1aec234ca259.csv,ml/data/synthetic_max/ambient_to_cold-20273327-1aec234ca259.metadata.json,121,121,20273327,pass,
ambient_to_cold-20273328-6ea3e1b02efc,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273328-6ea3e1b02efc.csv,ml/data/synthetic_max/ambient_to_cold-20273328-6ea3e1b02efc.metadata.json,121,121,20273328,pass,
ambient_to_cold-20273329-491177cce4fe,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273329-491177cce4fe.csv,ml/data/synthetic_max/ambient_to_cold-20273329-491177cce4fe.metadata.json,121,121,20273329,pass,
ambient_to_cold-20273330-81b1c4a76190,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273330-81b1c4a76190.csv,ml/data/synthetic_max/ambient_to_cold-20273330-81b1c4a76190.metadata.json,121,121,20273330,pass,
ambient_to_cold-20273331-847fb25b6091,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273331-847fb25b6091.csv,ml/data/synthetic_max/ambient_to_cold-20273331-847fb25b6091.metadata.json,121,121,20273331,pass,
ambient_to_cold-20273332-b223785f311a,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273332-b223785f311a.csv,ml/data/synthetic_max/ambient_to_cold-20273332-b223785f311a.metadata.json,121,121,20273332,pass,
ambient_to_cold-20273333-7d2141e2f535,ambient_to_cold,ml/data/synthetic_max/ambient_to_cold-20273333-7d2141e2f535.csv,ml/data/synthetic_max/ambient_to_cold-20273333-7d2141e2f535.metadata.json,121,121,20273333,pass,
cold_to_ambient-20273365-834ef376b01f,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273365-834ef376b01f.csv,ml/data/synthetic_max/cold_to_ambient-20273365-834ef376b01f.metadata.json,121,121,20273365,pass,
cold_to_ambient-20273366-be71f7e3d4f7,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273366-be71f7e3d4f7.csv,ml/data/synthetic_max/cold_to_ambient-20273366-be71f7e3d4f7.metadata.json,121,121,20273366,pass,
cold_to_ambient-20273367-3d4555ebc0a5,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273367-3d4555ebc0a5.csv,ml/data/synthetic_max/cold_to_ambient-20273367-3d4555ebc0a5.metadata.json,121,121,20273367,pass,
cold_to_ambient-20273368-d7f29c261b16,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273368-d7f29c261b16.csv,ml/data/synthetic_max/cold_to_ambient-20273368-d7f29c261b16.metadata.json,121,121,20273368,pass,
cold_to_ambient-20273369-ac93f172d9db,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273369-ac93f172d9db.csv,ml/data/synthetic_max/cold_to_ambient-20273369-ac93f172d9db.metadata.json,121,121,20273369,pass,
cold_to_ambient-20273370-bc6442dca0bd,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273370-bc6442dca0bd.csv,ml/data/synthetic_max/cold_to_ambient-20273370-bc6442dca0bd.metadata.json,121,121,20273370,pass,
cold_to_ambient-20273371-71e3cbc90b9e,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273371-71e3cbc90b9e.csv,ml/data/synthetic_max/cold_to_ambient-20273371-71e3cbc90b9e.metadata.json,121,121,20273371,pass,
cold_to_ambient-20273372-7610e9a7bd0a,cold_to_ambient,ml/data/synthetic_max/cold_to_ambient-20273372-7610e9a7bd0a.csv,ml/data/synthetic_max/cold_to_ambient-20273372-7610e9a7bd0a.metadata.json,121,121,20273372,pass,
gradual_warming-20273476-74b89d6b445f,gradual_warming,ml/data/synthetic_max/gradual_warming-20273476-74b89d6b445f.csv,ml/data/synthetic_max/gradual_warming-20273476-74b89d6b445f.metadata.json,121,121,20273476,pass,
gradual_warming-20273477-232662b1906d,gradual_warming,ml/data/synthetic_max/gradual_warming-20273477-232662b1906d.csv,ml/data/synthetic_max/gradual_warming-20273477-232662b1906d.metadata.json,121,121,20273477,pass,
gradual_warming-20273478-df72a0c00fbe,gradual_warming,ml/data/synthetic_max/gradual_warming-20273478-df72a0c00fbe.csv,ml/data/synthetic_max/gradual_warming-20273478-df72a0c00fbe.metadata.json,121,121,20273478,pass,
gradual_warming-20273479-33430c7d746c,gradual_warming,ml/data/synthetic_max/gradual_warming-20273479-33430c7d746c.csv,ml/data/synthetic_max/gradual_warming-20273479-33430c7d746c.metadata.json,121,121,20273479,pass,
gradual_warming-20273480-0362af66297f,gradual_warming,ml/data/synthetic_max/gradual_warming-20273480-0362af66297f.csv,ml/data/synthetic_max/gradual_warming-20273480-0362af66297f.metadata.json,121,121,20273480,pass,
gradual_warming-20273481-6a42a34f0a07,gradual_warming,ml/data/synthetic_max/gradual_warming-20273481-6a42a34f0a07.csv,ml/data/synthetic_max/gradual_warming-20273481-6a42a34f0a07.metadata.json,121,121,20273481,pass,
gradual_warming-20273482-6b97921239bb,gradual_warming,ml/data/synthetic_max/gradual_warming-20273482-6b97921239bb.csv,ml/data/synthetic_max/gradual_warming-20273482-6b97921239bb.metadata.json,121,121,20273482,pass,
gradual_warming-20273483-52af112c08e5,gradual_warming,ml/data/synthetic_max/gradual_warming-20273483-52af112c08e5.csv,ml/data/synthetic_max/gradual_warming-20273483-52af112c08e5.metadata.json,121,121,20273483,pass,
long_door_opening-20277010-5818c1ba6e8d,long_door_opening,ml/data/synthetic_max/long_door_opening-20277010-5818c1ba6e8d.csv,ml/data/synthetic_max/long_door_opening-20277010-5818c1ba6e8d.metadata.json,121,121,20277010,pass,
long_door_opening-20277011-22d1c5340508,long_door_opening,ml/data/synthetic_max/long_door_opening-20277011-22d1c5340508.csv,ml/data/synthetic_max/long_door_opening-20277011-22d1c5340508.metadata.json,121,121,20277011,pass,
long_door_opening-20277012-37305c65ad77,long_door_opening,ml/data/synthetic_max/long_door_opening-20277012-37305c65ad77.csv,ml/data/synthetic_max/long_door_opening-20277012-37305c65ad77.metadata.json,121,121,20277012,pass,
long_door_opening-20277013-0ac1d34fa490,long_door_opening,ml/data/synthetic_max/long_door_opening-20277013-0ac1d34fa490.csv,ml/data/synthetic_max/long_door_opening-20277013-0ac1d34fa490.metadata.json,121,121,20277013,pass,
long_door_opening-20277014-6cd1aec43245,long_door_opening,ml/data/synthetic_max/long_door_opening-20277014-6cd1aec43245.csv,ml/data/synthetic_max/long_door_opening-20277014-6cd1aec43245.metadata.json,121,121,20277014,pass,
long_door_opening-20277015-29c069c69305,long_door_opening,ml/data/synthetic_max/long_door_opening-20277015-29c069c69305.csv,ml/data/synthetic_max/long_door_opening-20277015-29c069c69305.metadata.json,121,121,20277015,pass,
long_door_opening-20277016-899b31d4769a,long_door_opening,ml/data/synthetic_max/long_door_opening-20277016-899b31d4769a.csv,ml/data/synthetic_max/long_door_opening-20277016-899b31d4769a.metadata.json,121,121,20277016,pass,
long_door_opening-20277017-c8c0142102b7,long_door_opening,ml/data/synthetic_max/long_door_opening-20277017-c8c0142102b7.csv,ml/data/synthetic_max/long_door_opening-20277017-c8c0142102b7.metadata.json,121,121,20277017,pass,
missing_samples-20273599-f51bae9f2485,missing_samples,ml/data/synthetic_max/missing_samples-20273599-f51bae9f2485.csv,ml/data/synthetic_max/missing_samples-20273599-f51bae9f2485.metadata.json,121,89,20273599,pass,
missing_samples-20273600-2542eaf6d196,missing_samples,ml/data/synthetic_max/missing_samples-20273600-2542eaf6d196.csv,ml/data/synthetic_max/missing_samples-20273600-2542eaf6d196.metadata.json,121,99,20273600,pass,
missing_samples-20273601-728bd6fe084d,missing_samples,ml/data/synthetic_max/missing_samples-20273601-728bd6fe084d.csv,ml/data/synthetic_max/missing_samples-20273601-728bd6fe084d.metadata.json,121,92,20273601,pass,
missing_samples-20273602-9e651445e113,missing_samples,ml/data/synthetic_max/missing_samples-20273602-9e651445e113.csv,ml/data/synthetic_max/missing_samples-20273602-9e651445e113.metadata.json,121,98,20273602,pass,
missing_samples-20273603-fc28ecf13fcd,missing_samples,ml/data/synthetic_max/missing_samples-20273603-fc28ecf13fcd.csv,ml/data/synthetic_max/missing_samples-20273603-fc28ecf13fcd.metadata.json,121,94,20273603,pass,
missing_samples-20273604-fdf4d31f72da,missing_samples,ml/data/synthetic_max/missing_samples-20273604-fdf4d31f72da.csv,ml/data/synthetic_max/missing_samples-20273604-fdf4d31f72da.metadata.json,121,96,20273604,pass,
