timestamp,run_id,scenario,true_temperature,measured_temperature,noise,lower_limit,upper_limit,event_started,event_time,sensor_valid,random_seed
2026-01-01T00:00:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9399,-0.0601,2.0,8.0,False,,True,20277010
2026-01-01T00:01:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0111,0.0111,2.0,8.0,False,,True,20277010
2026-01-01T00:02:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.971,-0.029,2.0,8.0,False,,True,20277010
2026-01-01T00:03:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.8764,-0.1236,2.0,8.0,False,,True,20277010
2026-01-01T00:04:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.8987,-0.1013,2.0,8.0,False,,True,20277010
2026-01-01T00:05:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9674,-0.0326,2.0,8.0,False,,True,20277010
2026-01-01T00:06:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0087,0.0087,2.0,8.0,False,,True,20277010
2026-01-01T00:07:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9456,-0.0544,2.0,8.0,False,,True,20277010
2026-01-01T00:08:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0288,0.0288,2.0,8.0,False,,True,20277010
2026-01-01T00:09:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0123,0.0123,2.0,8.0,False,,True,20277010
2026-01-01T00:10:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9897,-0.0103,2.0,8.0,False,,True,20277010
2026-01-01T00:11:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.1209,0.1209,2.0,8.0,False,,True,20277010
2026-01-01T00:12:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9328,-0.0672,2.0,8.0,False,,True,20277010
2026-01-01T00:13:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9137,-0.0863,2.0,8.0,False,,True,20277010
2026-01-01T00:14:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9162,-0.0838,2.0,8.0,False,,True,20277010
2026-01-01T00:15:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9281,-0.0719,2.0,8.0,False,,True,20277010
2026-01-01T00:16:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0613,0.0613,2.0,8.0,False,,True,20277010
2026-01-01T00:17:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.8868,-0.1132,2.0,8.0,False,,True,20277010
2026-01-01T00:18:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.1066,0.1066,2.0,8.0,False,,True,20277010
2026-01-01T00:19:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.0107,0.0107,2.0,8.0,False,,True,20277010
2026-01-01T00:20:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9763,-0.0237,2.0,8.0,False,,True,20277010
2026-01-01T00:21:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9023,-0.0977,2.0,8.0,False,,True,20277010
2026-01-01T00:22:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,3.9742,-0.0258,2.0,8.0,False,,True,20277010
2026-01-01T00:23:00+00:00,long_door_opening-20277010-5818c1ba6e8d,long_door_opening,4.0,4.1331,0.1331,2.0,8.0,False,,True,20277010
