timestamp,run_id,scenario,true_temperature,measured_temperature,noise,lower_limit,upper_limit,event_started,event_time,sensor_valid,random_seed
2026-01-01T00:00:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,3.5,3.4095,-0.0905,2.0,8.0,False,,True,20270391
2026-01-01T00:01:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,4.0121,3.9836,-0.0285,2.0,8.0,False,,True,20270391
2026-01-01T00:02:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,4.4992,4.4133,-0.0859,2.0,8.0,False,,True,20270391
2026-01-01T00:03:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,4.9626,4.9238,-0.0387,2.0,8.0,False,,True,20270391
2026-01-01T00:04:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,5.4033,5.3762,-0.0271,2.0,8.0,False,,True,20270391
2026-01-01T00:05:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,5.8226,5.8494,0.0268,2.0,8.0,False,,True,20270391
2026-01-01T00:06:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,6.2214,6.238,0.0166,2.0,8.0,False,,True,20270391
2026-01-01T00:07:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,6.6008,6.5641,-0.0366,2.0,8.0,False,,True,20270391
2026-01-01T00:08:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,6.9616,7.0898,0.1281,2.0,8.0,False,,True,20270391
2026-01-01T00:09:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,7.3049,7.2073,-0.0976,2.0,8.0,False,,True,20270391
2026-01-01T00:10:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,7.6314,7.6139,-0.0175,2.0,8.0,False,,True,20270391
2026-01-01T00:11:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,7.942,7.9223,-0.0197,2.0,8.0,False,,True,20270391
2026-01-01T00:12:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,8.2375,8.2752,0.0378,2.0,8.0,False,,True,20270391
2026-01-01T00:13:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,8.5185,8.5385,0.02,2.0,8.0,False,,True,20270391
2026-01-01T00:14:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,8.7859,8.7798,-0.0061,2.0,8.0,False,,True,20270391
2026-01-01T00:15:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,9.0402,8.8959,-0.1442,2.0,8.0,False,,True,20270391
2026-01-01T00:16:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,9.282,9.2486,-0.0335,2.0,8.0,False,,True,20270391
2026-01-01T00:17:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,9.5121,9.3849,-0.1272,2.0,8.0,False,,True,20270391
2026-01-01T00:18:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,9.731,9.6949,-0.0361,2.0,8.0,False,,True,20270391
2026-01-01T00:19:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,9.9392,9.9617,0.0225,2.0,8.0,False,,True,20270391
2026-01-01T00:20:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.1373,10.1702,0.033,2.0,8.0,False,,True,20270391
2026-01-01T00:21:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.3257,10.2654,-0.0603,2.0,8.0,False,,True,20270391
2026-01-01T00:22:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.5049,10.4729,-0.0319,2.0,8.0,False,,True,20270391
2026-01-01T00:23:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.6753,10.818,0.1427,2.0,8.0,False,,True,20270391
2026-01-01T00:24:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.8375,10.9382,0.1008,2.0,8.0,False,,True,20270391
2026-01-01T00:25:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,10.9917,11.0281,0.0364,2.0,8.0,False,,True,20270391
2026-01-01T00:26:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.1384,11.1626,0.0242,2.0,8.0,False,,True,20270391
2026-01-01T00:27:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.278,11.2103,-0.0677,2.0,8.0,False,,True,20270391
2026-01-01T00:28:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.4107,11.3905,-0.0203,2.0,8.0,False,,True,20270391
2026-01-01T00:29:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.537,11.4345,-0.1026,2.0,8.0,False,,True,20270391
2026-01-01T00:30:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.6571,11.6512,-0.0059,2.0,8.0,False,,True,20270391
2026-01-01T00:31:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.7714,11.7885,0.0171,2.0,8.0,False,,True,20270391
2026-01-01T00:32:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.8801,11.8787,-0.0014,2.0,8.0,False,,True,20270391
2026-01-01T00:33:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,11.9835,12.0358,0.0523,2.0,8.0,False,,True,20270391
2026-01-01T00:34:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.0818,12.0723,-0.0095,2.0,8.0,False,,True,20270391
2026-01-01T00:35:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.1754,11.9639,-0.2115,2.0,8.0,False,,True,20270391
2026-01-01T00:36:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.2644,12.3499,0.0856,2.0,8.0,False,,True,20270391
2026-01-01T00:37:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.349,12.5078,0.1588,2.0,8.0,False,,True,20270391
2026-01-01T00:38:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.4295,12.4092,-0.0203,2.0,8.0,False,,True,20270391
2026-01-01T00:39:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.5061,12.5428,0.0367,2.0,8.0,False,,True,20270391
2026-01-01T00:40:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.579,12.5288,-0.0502,2.0,8.0,False,,True,20270391
2026-01-01T00:41:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.6483,12.6359,-0.0124,2.0,8.0,False,,True,20270391
2026-01-01T00:42:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.7142,12.8276,0.1134,2.0,8.0,False,,True,20270391
2026-01-01T00:43:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.7769,12.7258,-0.0511,2.0,8.0,False,,True,20270391
2026-01-01T00:44:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.8366,12.9102,0.0736,2.0,8.0,False,,True,20270391
2026-01-01T00:45:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.8933,12.7756,-0.1177,2.0,8.0,False,,True,20270391
2026-01-01T00:46:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.9473,12.8586,-0.0887,2.0,8.0,False,,True,20270391
2026-01-01T00:47:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,12.9986,13.1659,0.1673,2.0,8.0,False,,True,20270391
2026-01-01T00:48:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.0475,13.0521,0.0046,2.0,8.0,False,,True,20270391
2026-01-01T00:49:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.0939,13.1223,0.0283,2.0,8.0,False,,True,20270391
2026-01-01T00:50:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.1381,13.0913,-0.0468,2.0,8.0,False,,True,20270391
2026-01-01T00:51:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.1801,13.0773,-0.1028,2.0,8.0,False,,True,20270391
2026-01-01T00:52:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.2201,13.2514,0.0312,2.0,8.0,False,,True,20270391
2026-01-01T00:53:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.2582,13.2624,0.0043,2.0,8.0,False,,True,20270391
2026-01-01T00:54:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.2943,13.3183,0.0239,2.0,8.0,False,,True,20270391
2026-01-01T00:55:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.3288,13.3,-0.0288,2.0,8.0,False,,True,20270391
2026-01-01T00:56:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.3615,13.4007,0.0392,2.0,8.0,False,,True,20270391
2026-01-01T00:57:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.3926,13.5074,0.1148,2.0,8.0,False,,True,20270391
2026-01-01T00:58:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.4223,13.3992,-0.0231,2.0,8.0,False,,True,20270391
2026-01-01T00:59:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.4504,13.441,-0.0095,2.0,8.0,False,,True,20270391
2026-01-01T01:00:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.4772,13.564,0.0868,2.0,8.0,False,,True,20270391
2026-01-01T01:01:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.5027,13.4127,-0.0901,2.0,8.0,False,,True,20270391
2026-01-01T01:02:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.527,13.5662,0.0392,2.0,8.0,False,,True,20270391
2026-01-01T01:03:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.5501,13.6776,0.1275,2.0,8.0,False,,True,20270391
2026-01-01T01:04:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.572,13.737,0.165,2.0,8.0,False,,True,20270391
2026-01-01T01:05:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.5929,13.5918,-0.0011,2.0,8.0,False,,True,20270391
2026-01-01T01:06:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6127,13.6297,0.0169,2.0,8.0,False,,True,20270391
2026-01-01T01:07:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6316,13.7286,0.097,2.0,8.0,False,,True,20270391
2026-01-01T01:08:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6496,13.6266,-0.023,2.0,8.0,False,,True,20270391
2026-01-01T01:09:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6667,13.639,-0.0277,2.0,8.0,False,,True,20270391
2026-01-01T01:10:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6829,13.5449,-0.138,2.0,8.0,False,,True,20270391
2026-01-01T01:11:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.6984,13.7256,0.0272,2.0,8.0,False,,True,20270391
2026-01-01T01:12:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7131,13.6494,-0.0637,2.0,8.0,False,,True,20270391
2026-01-01T01:13:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7271,13.7466,0.0195,2.0,8.0,False,,True,20270391
2026-01-01T01:14:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7404,13.7179,-0.0225,2.0,8.0,False,,True,20270391
2026-01-01T01:15:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7531,13.7621,0.009,2.0,8.0,False,,True,20270391
2026-01-01T01:16:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7651,13.774,0.0089,2.0,8.0,False,,True,20270391
2026-01-01T01:17:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7766,13.6837,-0.0928,2.0,8.0,False,,True,20270391
2026-01-01T01:18:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7875,13.7476,-0.0398,2.0,8.0,False,,True,20270391
2026-01-01T01:19:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.7978,13.727,-0.0708,2.0,8.0,False,,True,20270391
2026-01-01T01:20:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8077,13.895,0.0873,2.0,8.0,False,,True,20270391
2026-01-01T01:21:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8171,13.7587,-0.0584,2.0,8.0,False,,True,20270391
2026-01-01T01:22:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.826,13.8003,-0.0256,2.0,8.0,False,,True,20270391
2026-01-01T01:23:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8345,13.7814,-0.0531,2.0,8.0,False,,True,20270391
2026-01-01T01:24:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8425,13.9857,0.1431,2.0,8.0,False,,True,20270391
2026-01-01T01:25:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8502,13.8695,0.0193,2.0,8.0,False,,True,20270391
2026-01-01T01:26:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8575,13.8753,0.0177,2.0,8.0,False,,True,20270391
2026-01-01T01:27:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8645,13.9175,0.053,2.0,8.0,False,,True,20270391
2026-01-01T01:28:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8711,13.7866,-0.0845,2.0,8.0,False,,True,20270391
2026-01-01T01:29:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8774,13.7591,-0.1182,2.0,8.0,False,,True,20270391
2026-01-01T01:30:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8834,13.849,-0.0344,2.0,8.0,False,,True,20270391
2026-01-01T01:31:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.889,13.8071,-0.082,2.0,8.0,False,,True,20270391
2026-01-01T01:32:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8945,13.9449,0.0505,2.0,8.0,False,,True,20270391
2026-01-01T01:33:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.8996,13.9171,0.0174,2.0,8.0,False,,True,20270391
2026-01-01T01:34:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9045,13.8671,-0.0374,2.0,8.0,False,,True,20270391
2026-01-01T01:35:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9092,13.9201,0.011,2.0,8.0,False,,True,20270391
2026-01-01T01:36:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9136,13.9599,0.0463,2.0,8.0,False,,True,20270391
2026-01-01T01:37:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9178,13.8972,-0.0206,2.0,8.0,False,,True,20270391
2026-01-01T01:38:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9218,13.8623,-0.0595,2.0,8.0,False,,True,20270391
2026-01-01T01:39:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9256,14.0438,0.1182,2.0,8.0,False,,True,20270391
2026-01-01T01:40:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9293,13.9092,-0.0201,2.0,8.0,False,,True,20270391
2026-01-01T01:41:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9327,13.906,-0.0267,2.0,8.0,False,,True,20270391
2026-01-01T01:42:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.936,14.033,0.0971,2.0,8.0,False,,True,20270391
2026-01-01T01:43:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9391,13.9291,-0.01,2.0,8.0,False,,True,20270391
2026-01-01T01:44:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9421,13.8851,-0.057,2.0,8.0,False,,True,20270391
2026-01-01T01:45:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9449,14.0552,0.1103,2.0,8.0,False,,True,20270391
2026-01-01T01:46:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9476,13.854,-0.0936,2.0,8.0,False,,True,20270391
2026-01-01T01:47:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9501,13.9159,-0.0342,2.0,8.0,False,,True,20270391
2026-01-01T01:48:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9526,13.9913,0.0387,2.0,8.0,False,,True,20270391
2026-01-01T01:49:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9549,14.1118,0.1569,2.0,8.0,False,,True,20270391
2026-01-01T01:50:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9571,13.9808,0.0238,2.0,8.0,False,,True,20270391
2026-01-01T01:51:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9592,14.0331,0.0739,2.0,8.0,False,,True,20270391
2026-01-01T01:52:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9612,13.9362,-0.0249,2.0,8.0,False,,True,20270391
2026-01-01T01:53:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9631,13.9741,0.011,2.0,8.0,False,,True,20270391
2026-01-01T01:54:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9649,13.9612,-0.0037,2.0,8.0,False,,True,20270391
2026-01-01T01:55:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9666,13.966,-0.0006,2.0,8.0,False,,True,20270391
2026-01-01T01:56:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9682,14.0088,0.0406,2.0,8.0,False,,True,20270391
2026-01-01T01:57:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9698,13.9887,0.0189,2.0,8.0,False,,True,20270391
2026-01-01T01:58:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9712,14.0198,0.0485,2.0,8.0,False,,True,20270391
2026-01-01T01:59:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.9726,13.9351,-0.0375,2.0,8.0,False,,True,20270391
2026-01-01T02:00:00+00:00,rapid_warming-20270391-8ce3c33cad93,rapid_warming,13.974,14.0134,0.0394,2.0,8.0,False,,True,20270391
