timestamp,run_id,scenario,true_temperature,measured_temperature,noise,lower_limit,upper_limit,event_started,event_time,sensor_valid,random_seed
2026-01-01T00:00:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,3.9734,-0.0266,2.0,8.0,False,,True,20269121
2026-01-01T00:01:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0085,0.0027,2.0,8.0,False,,True,20269121
2026-01-01T00:02:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,3.9816,-0.0301,2.0,8.0,False,,True,20269121
2026-01-01T00:03:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0798,0.0623,2.0,8.0,False,,True,20269121
2026-01-01T00:04:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0954,0.0721,2.0,8.0,False,,True,20269121
2026-01-01T00:05:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0677,0.0386,2.0,8.0,False,,True,20269121
2026-01-01T00:06:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0233,-0.0117,2.0,8.0,False,,True,20269121
2026-01-01T00:07:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,3.9775,-0.0634,2.0,8.0,False,,True,20269121
2026-01-01T00:08:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0875,0.0409,2.0,8.0,False,,True,20269121
2026-01-01T00:09:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0455,-0.007,2.0,8.0,False,,True,20269121
2026-01-01T00:10:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0126,-0.0458,2.0,8.0,False,,True,20269121
2026-01-01T00:11:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0695,0.0054,2.0,8.0,False,,True,20269121
2026-01-01T00:12:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0326,-0.0374,2.0,8.0,False,,True,20269121
2026-01-01T00:13:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0944,0.0186,2.0,8.0,False,,True,20269121
2026-01-01T00:14:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0275,-0.0541,2.0,8.0,False,,True,20269121
2026-01-01T00:15:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0971,0.0096,2.0,8.0,False,,True,20269121
2026-01-01T00:16:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.1108,0.0174,2.0,8.0,False,,True,20269121
2026-01-01T00:17:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.1332,0.0341,2.0,8.0,False,,True,20269121
2026-01-01T00:18:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0878,-0.0172,2.0,8.0,False,,True,20269121
2026-01-01T00:19:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.0873,-0.0235,2.0,8.0,False,,True,20269121
2026-01-01T00:20:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.1718,0.0552,2.0,8.0,False,,True,20269121
2026-01-01T00:21:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.136,0.0135,2.0,8.0,False,,True,20269121
2026-01-01T00:22:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.1306,0.0022,2.0,8.0,False,,True,20269121
2026-01-01T00:23:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.182,0.0478,2.0,8.0,False,,True,20269121
2026-01-01T00:24:00+00:00,sensor_drift-20269121-0968e24e08f0,sensor_drift,4.0,4.146,0.006,2.0,8.0,False,,True,20269121
