timestamp,run_id,scenario,true_temperature,measured_temperature,noise,lower_limit,upper_limit,event_started,event_time,sensor_valid,random_seed
2026-01-01T00:00:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9243,-0.0757,2.0,8.0,False,,True,20268965
2026-01-01T00:01:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.0045,0.0045,2.0,8.0,False,,True,20268965
2026-01-01T00:02:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9679,-0.0321,2.0,8.0,False,,True,20268965
2026-01-01T00:03:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9111,-0.0889,2.0,8.0,False,,True,20268965
2026-01-01T00:04:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9994,-0.0006,2.0,8.0,False,,True,20268965
2026-01-01T00:05:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.8737,-0.1263,2.0,8.0,False,,True,20268965
2026-01-01T00:06:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.062,0.062,2.0,8.0,False,,True,20268965
2026-01-01T00:07:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9237,-0.0763,2.0,8.0,False,,True,20268965
2026-01-01T00:08:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9755,-0.0245,2.0,8.0,False,,True,20268965
2026-01-01T00:09:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9419,-0.0581,2.0,8.0,False,,True,20268965
2026-01-01T00:10:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9126,-0.0874,2.0,8.0,False,,True,20268965
2026-01-01T00:11:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.1735,0.1735,2.0,8.0,False,,True,20268965
2026-01-01T00:12:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.0272,0.0272,2.0,8.0,False,,True,20268965
2026-01-01T00:13:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.0619,0.0619,2.0,8.0,False,,True,20268965
2026-01-01T00:14:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.8908,-0.1092,2.0,8.0,False,,True,20268965
2026-01-01T00:15:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,4.0072,0.0072,2.0,8.0,False,,True,20268965
2026-01-01T00:16:00+00:00,sudden_spike-20268965-32e2c415ecb2,sudden_spike,4.0,3.9877,-0.0123,2.0,8.0,False,,True,20268965
