run_id,scenario,split
ambient_to_cold-20273330-81b1c4a76190,ambient_to_cold,test
ambient_to_cold-20273326-75d9a407ecb1,ambient_to_cold,train
ambient_to_cold-20273327-1aec234ca259,ambient_to_cold,train
ambient_to_cold-20273328-6ea3e1b02efc,ambient_to_cold,train
ambient_to_cold-20273329-491177cce4fe,ambient_to_cold,train
ambient_to_cold-20273331-847fb25b6091,ambient_to_cold,train
ambient_to_cold-20273332-b223785f311a,ambient_to_cold,train
ambient_to_cold-20273333-7d2141e2f535,ambient_to_cold,validation
cold_to_ambient-20273368-d7f29c261b16,cold_to_ambient,test
cold_to_ambient-20273366-be71f7e3d4f7,cold_to_ambient,train
cold_to_ambient-20273367-3d4555ebc0a5,cold_to_ambient,train
cold_to_ambient-20273369-ac93f172d9db,cold_to_ambient,train
cold_to_ambient-20273370-bc6442dca0bd,cold_to_ambient,train
cold_to_ambient-20273371-71e3cbc90b9e,cold_to_ambient,train
cold_to_ambient-20273372-7610e9a7bd0a,cold_to_ambient,train
cold_to_ambient-20273365-834ef376b01f,cold_to_ambient,validation
gradual_warming-20273477-232662b1906d,gradual_warming,test
gradual_warming-20273476-74b89d6b445f,gradual_warming,train
gradual_warming-20273478-df72a0c00fbe,gradual_warming,train
gradual_warming-20273479-33430c7d746c,gradual_warming,train
gradual_warming-20273480-0362af66297f,gradual_warming,train
gradual_warming-20273482-6b97921239bb,gradual_warming,train
gradual_warming-20273483-52af112c08e5,gradual_warming,train
gradual_warming-20273481-6a42a34f0a07,gradual_warming,validation
long_door_opening-20277016-899b31d4769a,long_door_opening,test
long_door_opening-20277010-5818c1ba6e8d,long_door_opening,train
long_door_opening-20277011-22d1c5340508,long_door_opening,train
long_door_opening-20277012-37305c65ad77,long_door_opening,train
long_door_opening-20277014-6cd1aec43245,long_door_opening,train
long_door_opening-20277015-29c069c69305,long_door_opening,train
long_door_opening-20277017-c8c0142102b7,long_door_opening,train
long_door_opening-20277013-0ac1d34fa490,long_door_opening,validation
missing_samples-20273604-fdf4d31f72da,missing_samples,test
missing_samples-20273599-f51bae9f2485,missing_samples,train
missing_samples-20273600-2542eaf6d196,missing_samples,train
missing_samples-20273602-9e651445e113,missing_samples,train
missing_samples-20273603-fc28ecf13fcd,missing_samples,train
missing_samples-20273605-1a8ffb1daaac,missing_samples,train
missing_samples-20273606-89e5ab773047,missing_samples,train
missing_samples-20273601-728bd6fe084d,missing_samples,validation
rapid_warming-20270396-5a78d5fecbdc,rapid_warming,test
rapid_warming-20270391-8ce3c33cad93,rapid_warming,train
rapid_warming-20270392-b3a411b7ba39,rapid_warming,train
rapid_warming-20270393-e01a105fe061,rapid_warming,train
rapid_warming-20270395-95ed3f187ba2,rapid_warming,train
rapid_warming-20270397-129b7216ba03,rapid_warming,train
rapid_warming-20270398-c375a534224f,rapid_warming,train
rapid_warming-20270394-3f73d46332f4,rapid_warming,validation
repeated_door_opening-20285196-dec75ae6c7ac,repeated_door_opening,test
repeated_door_opening-20285194-2eb566573375,repeated_door_opening,train
repeated_door_opening-20285195-500782b89b83,repeated_door_opening,train
repeated_door_opening-20285198-11ac5a138409,repeated_door_opening,train
repeated_door_opening-20285199-f342aafb3503,repeated_door_opening,train
repeated_door_opening-20285200-eb7a477d980a,repeated_door_opening,train
repeated_door_opening-20285201-f569a07e7eef,repeated_door_opening,train
repeated_door_opening-20285197-ccbaede4e148,repeated_door_opening,validation
sensor_drift-20269121-0968e24e08f0,sensor_drift,test
sensor_drift-20269119-4d8c4b327d60,sensor_drift,train
sensor_drift-20269120-7204cb3276ec,sensor_drift,train
sensor_drift-20269123-3759720af8b6,sensor_drift,train
sensor_drift-20269124-907b2ef15725,sensor_drift,train
sensor_drift-20269125-e9df241eef94,sensor_drift,train
sensor_drift-20269126-f93d896c20b2,sensor_drift,train
sensor_drift-20269122-641dfceaf08d,sensor_drift,validation
short_door_opening-20279015-70dee0e18881,short_door_opening,test
short_door_opening-20279008-7a857f26ad75,short_door_opening,train
short_door_opening-20279009-4c5b6ef2bc71,short_door_opening,train
short_door_opening-20279010-0002d3dc1f16,short_door_opening,train
short_door_opening-20279011-10c84a54b987,short_door_opening,train
short_door_opening-20279012-44acbd5d0015,short_door_opening,train
short_door_opening-20279014-8a0113e2c4e5,short_door_opening,train
short_door_opening-20279013-953ed06e012e,short_door_opening,validation
stable_cold-20267532-4fc6b2cbefde,stable_cold,test
stable_cold-20267530-681a1e7d1a12,stable_cold,train
stable_cold-20267533-c193f365f118,stable_cold,train
stable_cold-20267534-2f1dab99a2fd,stable_cold,train
stable_cold-20267535-803d5495f446,stable_cold,train
stable_cold-20267536-114d8554164e,stable_cold,train
stable_cold-20267537-56e1789efc13,stable_cold,train
stable_cold-20267531-7e087f577ef6,stable_cold,validation
stable_room-20267783-df8a858b032a,stable_room,test
stable_room-20267780-e3de2d511530,stable_room,train
stable_room-20267781-8ebeebd0d795,stable_room,train
stable_room-20267782-907a81de2ece,stable_room,train
stable_room-20267784-e8eb2b607b96,stable_room,train
stable_room-20267785-e269649296b1,stable_room,train
stable_room-20267786-0e9706dea9bf,stable_room,train
stable_room-20267779-06f5aabddf12,stable_room,validation
sudden_spike-20268970-41ce1977ce4b,sudden_spike,test
sudden_spike-20268964-2b7b4c7ff3a4,sudden_spike,train
sudden_spike-20268965-32e2c415ecb2,sudden_spike,train
sudden_spike-20268966-a67448b154d8,sudden_spike,train
sudden_spike-20268967-e171113df4de,sudden_spike,train
sudden_spike-20268969-4dd102307d74,sudden_spike,train
sudden_spike-20268971-d97598db4237,sudden_spike,train
sudden_spike-20268968-3e822f8e2e29,sudden_spike,validation
temporary_sensor_fault-20288146-62262fdfb871,temporary_sensor_fault,test
temporary_sensor_fault-20288140-14dbe17f7007,temporary_sensor_fault,train
temporary_sensor_fault-20288141-8d90d0661046,temporary_sensor_fault,train
temporary_sensor_fault-20288143-9f14d922312d,temporary_sensor_fault,train
temporary_sensor_fault-20288144-c648f936f096,temporary_sensor_fault,train
temporary_sensor_fault-20288145-fdd27d21c0c7,temporary_sensor_fault,train
temporary_sensor_fault-20288147-e49250efc5d8,temporary_sensor_fault,train
temporary_sensor_fault-20288142-24d8c3fd8626,temporary_sensor_fault,validation
