timestamp,timestamp_seconds,run_id,node_id,operating_mode,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T00:00:00+00:00,0.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.8978,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,interval due,0.0,invalid feature fallback,99.988
2026-01-01T00:01:00+00:00,60.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.085,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,interval due,0.0,invalid feature fallback,99.976
2026-01-01T00:02:00+00:00,120.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.0275,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,interval due,0.0,invalid feature fallback,99.964
2026-01-01T00:03:00+00:00,180.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.8976,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,interval due,0.0,invalid feature fallback,99.952
2026-01-01T00:04:00+00:00,240.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9475,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.95
2026-01-01T00:05:00+00:00,300.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.881,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.94800000000001
2026-01-01T00:06:00+00:00,360.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9966,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.94600000000001
2026-01-01T00:07:00+00:00,420.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.0685,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.94400000000002
2026-01-01T00:08:00+00:00,480.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.991,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,rule-based baseline,99.93200000000002
2026-01-01T00:09:00+00:00,540.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9845,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.93000000000002
2026-01-01T00:10:00+00:00,600.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9366,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.92800000000003
2026-01-01T00:11:00+00:00,660.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9852,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.92600000000003
2026-01-01T00:12:00+00:00,720.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.0552,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.92400000000004
2026-01-01T00:13:00+00:00,780.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.097,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,rule-based baseline,99.91200000000003
2026-01-01T00:14:00+00:00,840.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9646,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.91000000000004
2026-01-01T00:15:00+00:00,900.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.0413,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.90800000000004
2026-01-01T00:16:00+00:00,960.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.1346,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.90600000000005
2026-01-01T00:17:00+00:00,1020.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.8689,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.90400000000005
2026-01-01T00:18:00+00:00,1080.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.8565,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.90200000000006
2026-01-01T00:19:00+00:00,1140.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,3.9228,True,STABLE,0.0,STABLE,60.0,300.0,True,interval due,0.0,rule-based baseline,99.89000000000006
2026-01-01T00:20:00+00:00,1200.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,4.0415,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.88800000000006
2026-01-01T00:21:00+00:00,1260.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,6.2009,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.88600000000007
2026-01-01T00:22:00+00:00,1320.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,7.6405,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.88400000000007
2026-01-01T00:23:00+00:00,1380.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,8.8958,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.88200000000008
2026-01-01T00:24:00+00:00,1440.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,9.4984,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.88000000000008
2026-01-01T00:25:00+00:00,1500.0,repeated_door_opening-20285194-ba5af5ea8ac1,2,rule_based,9.0214,True,EXCURSION_RISK,1.0,EXCURSION_RISK,10.0,600.0,False,not due,0.0,rule-based baseline,99.87800000000009
