scenario,thermal_state,row_count
ambient_to_cold,EXCURSION_RISK,312
ambient_to_cold,STABLE,366
cold_to_ambient,EXCURSION_RISK,678
gradual_warming,EXCURSION_RISK,440
gradual_warming,STABLE,231
gradual_warming,TRANSITION,572
long_door_opening,EXCURSION_RISK,288
long_door_opening,STABLE,306
long_door_opening,TRANSITION,84
missing_samples,STABLE,678
rapid_warming,EXCURSION_RISK,666
rapid_warming,TRANSITION,12
repeated_door_opening,EXCURSION_RISK,360
repeated_door_opening,STABLE,78
repeated_door_opening,TRANSITION,240
sensor_drift,STABLE,678
short_door_opening,EXCURSION_RISK,114
short_door_opening,STABLE,468
short_door_opening,TRANSITION,96
stable_cold,STABLE,678
stable_room,EXCURSION_RISK,678
sudden_spike,EXCURSION_RISK,108
sudden_spike,STABLE,480
sudden_spike,TRANSITION,90
temporary_sensor_fault,STABLE,678
