timestamp,timestamp_seconds,run_id,node_id,operating_mode,policy_version,protocol_version,measured_temperature,sensor_valid,predicted_state,risk_probability,applied_state,sampling_interval,transmission_interval,transmission_requested,transmission_reason,model_latency,fallback_status,battery_estimate
2026-01-01T00:00:00+00:00,0.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.5428,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,immediate,0.0,invalid feature fallback,99.988
2026-01-01T00:01:00+00:00,60.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.6042,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,immediate,0.0,invalid feature fallback,99.976
2026-01-01T00:02:00+00:00,120.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.8265,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,immediate,0.0,invalid feature fallback,99.964
2026-01-01T00:03:00+00:00,180.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.774,True,MODEL_FAULT,0.0,MODEL_FAULT,30.0,60.0,True,immediate,0.0,invalid feature fallback,99.952
2026-01-01T00:04:00+00:00,240.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.7901,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.95
2026-01-01T00:05:00+00:00,300.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.9754,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.94800000000001
2026-01-01T00:06:00+00:00,360.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,4.033,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.94600000000001
2026-01-01T00:07:00+00:00,420.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,3.9826,True,STABLE,0.0,STABLE,60.0,300.0,False,not due,0.0,rule-based baseline,99.94400000000002
2026-01-01T00:08:00+00:00,480.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,4.1574,True,EXCURSION_RISK,1.0,EXCURSION_RISK,5.0,5.0,True,immediate,0.0,rule-based baseline,99.93200000000002
2026-01-01T00:09:00+00:00,540.0,gradual_warming-20273476-22d4691003c5,2,rule_based,runtime_policy_v1,1,4.0334,True,EXCURSION_RISK,1.0,EXCURSION_RISK,5.0,5.0,True,immediate,0.0,rule-based baseline,99.92000000000002
