dataset,name,model,horizon_minutes,split,mae_c,rmse_c,rows
temperature_only,historical_mean_30m,historical_mean,30,train,1.7332546443372578,2.2601421138628335,2302
temperature_only,historical_mean_30m,historical_mean,30,validation,5.146297244326554,5.296018025229495,468
temperature_only,historical_mean_30m,historical_mean,30,test,3.175175701024261,3.581191607991931,551
temperature_only,historical_mean_60m,historical_mean,60,train,1.789674909074568,2.3144791127243782,2302
temperature_only,historical_mean_60m,historical_mean,60,validation,5.194205791335101,5.36965937412321,468
temperature_only,historical_mean_60m,historical_mean,60,test,3.226381844504245,3.6657059321579353,551
temperature_only,historical_mean_90m,historical_mean,90,train,1.8621773955680718,2.3949447536429846,2302
temperature_only,historical_mean_90m,historical_mean,90,validation,5.242029295608605,5.454107427359641,468
temperature_only,historical_mean_90m,historical_mean,90,test,3.277665244383253,3.764302272735758,551
temperature_only,linear_trend_30m,linear_trend,30,train,0.07871610194034169,0.12666021559776283,2302
temperature_only,linear_trend_30m,linear_trend,30,validation,0.07091673789173789,0.09301141513386504,468
temperature_only,linear_trend_30m,linear_trend,30,test,0.07016612220205687,0.0950134054497804,551
temperature_only,linear_trend_60m,linear_trend,60,train,0.18546282942368963,0.28085384534783353,2302
temperature_only,linear_trend_60m,linear_trend,60,validation,0.17062670940170951,0.22378892562243574,468
temperature_only,linear_trend_60m,linear_trend,60,test,0.1693802782819116,0.22876932446306114,551
temperature_only,linear_trend_90m,linear_trend,90,train,0.3241238922675934,0.4694608586381014,2302
temperature_only,linear_trend_90m,linear_trend,90,validation,0.3058967948717951,0.39723660684312484,468
temperature_only,linear_trend_90m,linear_trend,90,test,0.3026539019963702,0.4041137400986005,551
temperature_only,persistence_30m,persistence,30,train,0.23520304083405735,0.2892730835899897,2302
temperature_only,persistence_30m,persistence,30,validation,0.2404869658119658,0.27788432987593653,468
temperature_only,persistence_30m,persistence,30,test,0.23696515426497278,0.27598015710253077,551
temperature_only,persistence_60m,persistence,60,train,0.4672753692441355,0.5715432763319356,2302
temperature_only,persistence_60m,persistence,60,validation,0.47865876068376073,0.551927389799701,468
temperature_only,persistence_60m,persistence,60,test,0.47156987295825775,0.5489075890739832,551
temperature_only,persistence_90m,persistence,90,train,0.6952353605560383,0.847563848892583,2302
temperature_only,persistence_90m,persistence,90,validation,0.7128151709401709,0.8220365420813688,468
temperature_only,persistence_90m,persistence,90,test,0.7020695099818512,0.8178729551922143,551
