dataset,model,split,accuracy,macro_f1,rows
multivariate,logistic_regression,test,0.8911070780399274,0.83849723385554,551
multivariate,logistic_regression,train,0.889661164205039,0.7813584287289697,2302
multivariate,logistic_regression,validation,0.8226495726495726,0.7689357074786338,468
multivariate,small_forest,test,0.8548094373865699,0.6778921778921779,551
multivariate,small_forest,train,0.9426585577758471,0.8662901756185967,2302
multivariate,small_forest,validation,0.844017094017094,0.621958512606606,468
multivariate,small_tree,test,0.8493647912885662,0.7743574622831589,551
multivariate,small_tree,train,0.9335360556038228,0.8468558308427377,2302
multivariate,small_tree,validation,0.8739316239316239,0.8068658472829945,468
temperature_only,logistic_regression,test,0.852994555353902,0.8004039828462913,551
temperature_only,logistic_regression,train,0.8609904430929627,0.7506743687108307,2302
temperature_only,logistic_regression,validation,0.8782051282051282,0.8247958400956003,468
temperature_only,small_forest,test,0.8475499092558983,0.6713798547891977,551
temperature_only,small_forest,train,0.9383145091225021,0.8609382760271863,2302
temperature_only,small_forest,validation,0.8098290598290598,0.59516935280949,468
temperature_only,small_tree,test,0.8638838475499092,0.798927088523501,551
temperature_only,small_tree,train,0.924847958297133,0.839228872674655,2302
temperature_only,small_tree,validation,0.8717948717948718,0.8023680402552574,468
