dataset,name,model,horizon_minutes,split,mae_c,rmse_c,rows
multivariate,ridge_30m,ridge,30,train,0.036449387769318824,0.06424866473651447,2302
multivariate,ridge_30m,ridge,30,validation,0.03847320837907939,0.05287216869184037,468
multivariate,ridge_30m,ridge,30,test,0.03229431157217338,0.043543924475048054,551
multivariate,ridge_60m,ridge,60,train,0.07752995409979403,0.1298219812457122,2302
multivariate,ridge_60m,ridge,60,validation,0.08225523409550074,0.1060376463464543,468
multivariate,ridge_60m,ridge,60,test,0.06970516388371562,0.09514735456856767,551
multivariate,ridge_90m,ridge,90,train,0.12478560796560395,0.19005594708711676,2302
multivariate,ridge_90m,ridge,90,validation,0.13499574561267774,0.17161635872337755,468
multivariate,ridge_90m,ridge,90,test,0.1149567156603679,0.15647135041536717,551
multivariate,small_forest_30m,small_forest,30,train,0.07044551100053399,0.0959163621966073,2302
multivariate,small_forest_30m,small_forest,30,validation,0.6501992147258824,1.0589583547137444,468
multivariate,small_forest_30m,small_forest,30,test,0.24864720678622718,0.5257793469894275,551
multivariate,small_forest_60m,small_forest,60,train,0.10556318847662088,0.1471834020965862,2302
multivariate,small_forest_60m,small_forest,60,validation,0.8580877731864148,1.2376653793750063,468
multivariate,small_forest_60m,small_forest,60,test,0.3572366634275781,0.6328991012118177,551
multivariate,small_forest_90m,small_forest,90,train,0.13495856603696396,0.1859396895236361,2302
multivariate,small_forest_90m,small_forest,90,validation,1.0241159327813152,1.3630670493422292,468
multivariate,small_forest_90m,small_forest,90,test,0.46532059572694506,0.7443473961907028,551
multivariate,small_tree_30m,small_tree,30,train,0.19067838146809188,0.23339731197574654,2302
multivariate,small_tree_30m,small_tree,30,validation,0.8213863542280752,1.1872950390033752,468
multivariate,small_tree_30m,small_tree,30,test,0.38541020831310113,0.6348066606066228,551
multivariate,small_tree_60m,small_tree,60,train,0.25246691741934546,0.31813933495571106,2302
multivariate,small_tree_60m,small_tree,60,validation,0.9898826325152453,1.3484810197606774,468
multivariate,small_tree_60m,small_tree,60,test,0.5087101170205983,0.7607275629931809,551
multivariate,small_tree_90m,small_tree,90,train,0.3046504845683233,0.39439227170381447,2302
multivariate,small_tree_90m,small_tree,90,validation,1.1842094337652775,1.4910303374085814,468
multivariate,small_tree_90m,small_tree,90,test,0.6228139132712087,0.8899506476331357,551
temperature_only,ridge_30m,ridge,30,train,0.043890268521661356,0.07321375676674723,2302
temperature_only,ridge_30m,ridge,30,validation,0.04122112470570942,0.05629837703926242,468
temperature_only,ridge_30m,ridge,30,test,0.035825151419044673,0.04716867230441767,551
temperature_only,ridge_60m,ridge,60,train,0.10328146046252712,0.16217389656505413,2302
temperature_only,ridge_60m,ridge,60,validation,0.09321398655324369,0.11835168560103056,468
temperature_only,ridge_60m,ridge,60,test,0.08200507184918547,0.10742137592657078,551
temperature_only,ridge_90m,ridge,90,train,0.17819762747356443,0.256445983898518,2302
temperature_only,ridge_90m,ridge,90,validation,0.16127515682067678,0.20031419451180357,468
temperature_only,ridge_90m,ridge,90,test,0.14027885819859026,0.1815327498518586,551
temperature_only,small_forest_30m,small_forest,30,train,0.07357827792615529,0.0999731598593077,2302
temperature_only,small_forest_30m,small_forest,30,validation,0.6533304834123226,1.050967018556978,468
temperature_only,small_forest_30m,small_forest,30,test,0.24837033931299016,0.5238127199622774,551
temperature_only,small_forest_60m,small_forest,60,train,0.11386841720870987,0.15674323945110566,2302
temperature_only,small_forest_60m,small_forest,60,validation,0.8808857957746493,1.241182859859848,468
temperature_only,small_forest_60m,small_forest,60,test,0.3694031272774622,0.6446703085175782,551
temperature_only,small_forest_90m,small_forest,90,train,0.15297775559158475,0.2122261977984732,2302
temperature_only,small_forest_90m,small_forest,90,validation,1.0595631891027266,1.3716814402565072,468
temperature_only,small_forest_90m,small_forest,90,test,0.47236746933470736,0.74685523231649,551
temperature_only,small_tree_30m,small_tree,30,train,0.19204289259397614,0.23507797799761623,2302
temperature_only,small_tree_30m,small_tree,30,validation,0.8105461182025793,1.1831273069218644,468
temperature_only,small_tree_30m,small_tree,30,test,0.38846275389622803,0.6361362608938146,551
temperature_only,small_tree_60m,small_tree,60,train,0.2546933560143965,0.3197473001845447,2302
temperature_only,small_tree_60m,small_tree,60,validation,0.9997195730007394,1.3533788452771067,468
temperature_only,small_tree_60m,small_tree,60,test,0.503896544886151,0.7617321275241232,551
temperature_only,small_tree_90m,small_tree,90,train,0.31122639385870277,0.40433756947287347,2302
temperature_only,small_tree_90m,small_tree,90,validation,1.1876622326016864,1.4912966770920846,468
temperature_only,small_tree_90m,small_tree,90,test,0.614462222795725,0.8767963167425536,551
