metric_name,metric_value,unit,value_type,method,notes
total_sensor_samples,121.0,count,SIMULATED_SOFTWARE_VALUE,count(node_decisions),Software simulation only.
total_transmissions,107.0,count,SIMULATED_SOFTWARE_VALUE,sum(transmission_requested),Not measured RF traffic.
total_inferences,121.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
delivered_packets,107.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
dropped_packets,8.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
corrupted_packets,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
duplicated_packets,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
out_of_order_packets,4.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
retries,11.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
packet_delivery_ratio,1.0,ratio,SIMULATED_SOFTWARE_VALUE,accepted reader records / requested transmissions,Software radio model only.
packet_loss_rate,0.07476635514018691,ratio,SIMULATED_SOFTWARE_VALUE,dropped events / transmissions,No physical range claim.
mean_latency,1424.6373044707834,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
median_latency,1017.3061208752188,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
p95_latency,2969.3891247334227,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
accepted_packets,107.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
rejected_packets,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
alerts_generated,49.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
missed_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
false_alert_event_rate,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
mean_warning_lead_time,600.0,seconds,SIMULATED_SOFTWARE_VALUE,first excursion timestamp - first EXCURSION_RISK state timestamp,Single-run result has no statistical significance.
median_warning_lead_time,600.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
minimum_warning_lead_time,600.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
state_transitions,3.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
sensor_fault_duration,0.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
model_fallback_duration,4.0,value,SIMULATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
estimated_sensing_energy,0.242,value,ESTIMATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
estimated_inference_energy,0.121,value,ESTIMATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
estimated_processing_energy,0.0605,value,ESTIMATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
estimated_radio_energy,1.07,value,ESTIMATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
estimated_total_energy,1.4935,estimated unit,ESTIMATED_SOFTWARE_VALUE,sensing estimate + inference estimate + radio estimate,Not measured Wh or STM32 consumption.
estimated_energy_per_delivered_packet,0.013957943925233645,value,ESTIMATED_SOFTWARE_VALUE,calculated from imported evidence,Software simulation result.
