system,state,horizon_minutes,rows,mae_c
persistence,STABLE,5,553,0.0242314647377938
persistence,STABLE,15,553,0.0582278481012658
persistence,STABLE,30,553,0.1077757685352622
persistence,WARMING,5,103,0.0466019417475728
persistence,WARMING,15,103,0.1504854368932038
persistence,WARMING,30,103,0.2621359223300971
persistence,COOLING,5,94,0.0287234042553191
persistence,COOLING,15,94,0.0787234042553191
persistence,COOLING,30,94,0.1436170212765957
linear_trend,STABLE,5,553,0.0314044605183846
linear_trend,STABLE,15,553,0.0725135623869804
linear_trend,STABLE,30,553,0.1482820976491856
linear_trend,WARMING,5,103,0.0540453074433658
linear_trend,WARMING,15,103,0.1475728155339806
linear_trend,WARMING,30,103,0.2893203883495142
linear_trend,COOLING,5,94,0.0418439716312058
linear_trend,COOLING,15,94,0.0946808510638301
linear_trend,COOLING,30,94,0.1840425531914891
ridge,STABLE,5,553,0.037176712521895
ridge,STABLE,15,553,0.091200995317478
ridge,STABLE,30,553,0.1307335845068938
ridge,WARMING,5,103,0.0686985473942172
ridge,WARMING,15,103,0.1644646039087816
ridge,WARMING,30,103,0.2438450670201686
ridge,COOLING,5,94,0.0660132207954618
ridge,COOLING,15,94,0.1070258210330044
ridge,COOLING,30,94,0.1639316832292477
decision_tree,STABLE,5,553,0.0794529086516331
decision_tree,STABLE,15,553,0.1422077864404063
decision_tree,STABLE,30,553,0.2857873816666758
decision_tree,WARMING,5,103,0.0890099335337135
decision_tree,WARMING,15,103,0.2008935481635581
decision_tree,WARMING,30,103,0.2730621004713476
decision_tree,COOLING,5,94,0.0898424277316153
decision_tree,COOLING,15,94,0.1467496086437466
decision_tree,COOLING,30,94,0.3457405908253802
random_forest,STABLE,5,553,0.0538354981533765
random_forest,STABLE,15,553,0.1140701395809581
random_forest,STABLE,30,553,0.2526880282438949
random_forest,WARMING,5,103,0.069341236112343
random_forest,WARMING,15,103,0.1270756413081022
random_forest,WARMING,30,103,0.238277390442485
random_forest,COOLING,5,94,0.0677717550583094
random_forest,COOLING,15,94,0.1606291474069642
random_forest,COOLING,30,94,0.3176232399406218
ridge_test,STABLE,5,526,0.04038737031177063
ridge_test,STABLE,15,526,0.10563423534539754
ridge_test,STABLE,30,526,0.16009909948564424
ridge_test,WARMING,5,115,0.06319460271845836
ridge_test,WARMING,15,115,0.18121966927539898
ridge_test,WARMING,30,115,0.2766315549831737
ridge_test,COOLING,5,109,0.06482352504441517
ridge_test,COOLING,15,109,0.1341256932589323
ridge_test,COOLING,30,109,0.23624264683236562
