system,temperature_bin_c,horizon_minutes,rows,sparse,mae_c
ridge,16-18,5,0,True,
ridge,16-18,15,0,True,
ridge,16-18,30,0,True,
ridge,18-20,5,375,False,0.0438218669677843
ridge,18-20,15,375,False,0.1072432261465135
ridge,18-20,30,375,False,0.1598746170653076
ridge,20-22,5,375,False,0.0464179067948442
ridge,20-22,15,375,False,0.0992485919608792
ridge,20-22,30,375,False,0.1409821625585296
ridge,22-24,5,0,True,
ridge,22-24,15,0,True,
ridge,22-24,30,0,True,
ridge,24-26,5,0,True,
ridge,24-26,15,0,True,
ridge,24-26,30,0,True,
ridge,26-28,5,0,True,
ridge,26-28,15,0,True,
ridge,26-28,30,0,True,
ridge,28-30,5,0,True,
ridge,28-30,15,0,True,
ridge,28-30,30,0,True,
decision_tree,16-18,5,0,True,
decision_tree,16-18,15,0,True,
decision_tree,16-18,30,0,True,
decision_tree,18-20,5,375,False,0.0663770022249313
decision_tree,18-20,15,375,False,0.1456092227216553
decision_tree,18-20,30,375,False,0.2778513302006399
decision_tree,20-22,5,375,False,0.0977581173619951
decision_tree,20-22,15,375,False,0.1560638561447537
decision_tree,20-22,30,375,False,0.3052564936601768
decision_tree,22-24,5,0,True,
decision_tree,22-24,15,0,True,
decision_tree,22-24,30,0,True,
decision_tree,24-26,5,0,True,
decision_tree,24-26,15,0,True,
decision_tree,24-26,30,0,True,
decision_tree,26-28,5,0,True,
decision_tree,26-28,15,0,True,
decision_tree,26-28,30,0,True,
decision_tree,28-30,5,0,True,
decision_tree,28-30,15,0,True,
decision_tree,28-30,30,0,True,
random_forest,16-18,5,0,True,
random_forest,16-18,15,0,True,
random_forest,16-18,30,0,True,
random_forest,18-20,5,375,False,0.0567497932854339
random_forest,18-20,15,375,False,0.1116210978877633
random_forest,18-20,30,375,False,0.2173732708203958
random_forest,20-22,5,375,False,0.0586734674448851
random_forest,20-22,15,375,False,0.1317621503769274
random_forest,20-22,30,375,False,0.300321756883253
random_forest,22-24,5,0,True,
random_forest,22-24,15,0,True,
random_forest,22-24,30,0,True,
random_forest,24-26,5,0,True,
random_forest,24-26,15,0,True,
random_forest,24-26,30,0,True,
random_forest,26-28,5,0,True,
random_forest,26-28,15,0,True,
random_forest,26-28,30,0,True,
random_forest,28-30,5,0,True,
random_forest,28-30,15,0,True,
random_forest,28-30,30,0,True,
ridge_test,16-18,5,72,False,0.028040224607821122
ridge_test,16-18,15,72,False,0.06585529525546985
ridge_test,16-18,30,72,False,0.12486754715784956
ridge_test,18-20,5,621,False,0.04851990282847136
ridge_test,18-20,15,621,False,0.12680120749220317
ridge_test,18-20,30,621,False,0.1969545917230859
ridge_test,20-22,5,57,False,0.06012534207388567
ridge_test,20-22,15,57,False,0.1322533195179233
ridge_test,20-22,30,57,False,0.18378840003228367
ridge_test,22-24,5,0,True,
ridge_test,22-24,15,0,True,
ridge_test,22-24,30,0,True,
ridge_test,24-26,5,0,True,
ridge_test,24-26,15,0,True,
ridge_test,24-26,30,0,True,
ridge_test,26-28,5,0,True,
ridge_test,26-28,15,0,True,
ridge_test,26-28,30,0,True,
ridge_test,28-30,5,0,True,
ridge_test,28-30,15,0,True,
ridge_test,28-30,30,0,True,
