timestamp,node_id,measured_temperature,sensor_valid,battery_percentage,sequence_number,source_device,experiment_id,calibration_version,notes,run_id,split,secondary_temperature,external_temperature,primary_humidity,source_file
2012-03-13T11:45:00,T15_DINING_01,18.1875,True,,0,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,17.8275,18.115,39.9125,NEW-DATA-1.T15.txt
2012-03-13T12:00:00,T15_DINING_01,18.4633,True,,1,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,18.1207,18.4147,39.9267,NEW-DATA-1.T15.txt
2012-03-13T12:15:00,T15_DINING_01,18.7673,True,,2,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,18.4367,18.8533,39.772,NEW-DATA-1.T15.txt
2012-03-13T12:30:00,T15_DINING_01,19.0727,True,,3,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,18.7513,19.2907,39.776,NEW-DATA-1.T15.txt
2012-03-13T12:45:00,T15_DINING_01,19.3721,True,,4,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,19.0414,19.74,39.7757,NEW-DATA-1.T15.txt
2012-03-13T13:00:00,T15_DINING_01,19.6407,True,,5,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,19.2773,20.166,39.8107,NEW-DATA-1.T15.txt
2012-03-13T13:15:00,T15_DINING_01,19.912,True,,6,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,19.5367,20.566,39.8613,NEW-DATA-1.T15.txt
2012-03-13T13:30:00,T15_DINING_01,20.164,True,,7,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,19.7307,20.8427,39.824,NEW-DATA-1.T15.txt
2012-03-13T13:45:00,T15_DINING_01,20.412,True,,8,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,19.9693,21.204,39.9587,NEW-DATA-1.T15.txt
2012-03-13T14:00:00,T15_DINING_01,20.64,True,,9,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,20.1407,21.5227,39.94,NEW-DATA-1.T15.txt
2012-03-13T14:15:00,T15_DINING_01,20.8453,True,,10,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,20.3267,21.756,39.9813,NEW-DATA-1.T15.txt
2012-03-13T14:30:00,T15_DINING_01,21.0333,True,,11,uploaded_t15_dining_temperature_sensor,t15_20120313,unknown,External derived benchmark row; not Thermal Nexus-collected data; 15-minute sample interval.,t15_20120313,train,20.4713,21.984,40.3587,NEW-DATA-1.T15.txt
