scope,record_type,count,min_c,max_c,mean_c,median_c,std_c,p05_c,p25_c,p75_c,p95_c,bin_label,bin_count,bin_percent
overall,summary,4968.0,16.6,28.145,21.449708821771683,20.0,3.303005294675623,17.5,18.7,25.3366875,26.262,,,
overall,temperature_bin,,,,,,,,,,,16-18,639.0,12.862318840579709
overall,temperature_bin,,,,,,,,,,,18-20,1817.0,36.574074074074076
overall,temperature_bin,,,,,,,,,,,20-22,686.0,13.808373590982287
overall,temperature_bin,,,,,,,,,,,22-24,26.0,0.5233494363929146
overall,temperature_bin,,,,,,,,,,,24-26,1340.0,26.972624798711752
overall,temperature_bin,,,,,,,,,,,26-28,456.0,9.178743961352657
overall,temperature_bin,,,,,,,,,,,28-30,4.0,0.08051529790660225
overall,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
INTEL_LAB,summary,168.0,16.954483333333332,22.852889743589742,20.0784158988463,20.001035635538265,1.4696515046926406,17.848788958426965,18.976544790005317,21.029733748859833,22.546088409486167,,,
INTEL_LAB,temperature_bin,,,,,,,,,,,16-18,13.0,7.738095238095238
INTEL_LAB,temperature_bin,,,,,,,,,,,18-20,70.0,41.66666666666667
INTEL_LAB,temperature_bin,,,,,,,,,,,20-22,59.0,35.11904761904761
INTEL_LAB,temperature_bin,,,,,,,,,,,22-24,26.0,15.476190476190476
INTEL_LAB,temperature_bin,,,,,,,,,,,24-26,0.0,0.0
INTEL_LAB,temperature_bin,,,,,,,,,,,26-28,0.0,0.0
INTEL_LAB,temperature_bin,,,,,,,,,,,28-30,0.0,0.0
INTEL_LAB,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
UCI_ROOM_OCCUPANCY,summary,1800.0,24.44,28.145,25.63721086419753,25.623,0.559133611719108,24.7617,25.241999999999997,26.006,26.398000000000003,,,
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,16-18,0.0,0.0
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,18-20,0.0,0.0
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,20-22,0.0,0.0
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,22-24,0.0,0.0
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,24-26,1340.0,74.44444444444444
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,26-28,456.0,25.333333333333336
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,28-30,4.0,0.2222222222222222
UCI_ROOM_OCCUPANCY,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
BOLZANO_IEQ,summary,3000.0,16.6,21.9,19.014,19.0,1.095026940307863,17.3,18.1,19.7,20.9,,,
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,16-18,626.0,20.866666666666667
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,18-20,1747.0,58.233333333333334
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,20-22,627.0,20.9
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,22-24,0.0,0.0
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,24-26,0.0,0.0
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,26-28,0.0,0.0
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,28-30,0.0,0.0
BOLZANO_IEQ,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
train,summary,3468.0,16.6,28.145,22.32458287963141,24.65533333333333,3.571568440308112,17.3,18.7,25.648000000000003,26.311688888888888,,,
train,temperature_bin,,,,,,,,,,,16-18,567.0,16.34948096885813
train,temperature_bin,,,,,,,,,,,18-20,821.0,23.673587081891583
train,temperature_bin,,,,,,,,,,,20-22,254.0,7.324106113033449
train,temperature_bin,,,,,,,,,,,22-24,26.0,0.7497116493656286
train,temperature_bin,,,,,,,,,,,24-26,1340.0,38.63898500576701
train,temperature_bin,,,,,,,,,,,26-28,456.0,13.148788927335639
train,temperature_bin,,,,,,,,,,,28-30,4.0,0.11534025374855825
train,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
validation,summary,750.0,18.8,21.4,20.0008,19.95,0.6560889370606194,19.0,19.4,20.5,21.1,,,
validation,temperature_bin,,,,,,,,,,,16-18,0.0,0.0
validation,temperature_bin,,,,,,,,,,,18-20,375.0,50.0
validation,temperature_bin,,,,,,,,,,,20-22,375.0,50.0
validation,temperature_bin,,,,,,,,,,,22-24,0.0,0.0
validation,temperature_bin,,,,,,,,,,,24-26,0.0,0.0
validation,temperature_bin,,,,,,,,,,,26-28,0.0,0.0
validation,temperature_bin,,,,,,,,,,,28-30,0.0,0.0
validation,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
test,summary,750.0,17.7,20.6,18.8532,18.7,0.6868161520135259,17.8,18.4,19.3,20.2,,,
test,temperature_bin,,,,,,,,,,,16-18,72.0,9.6
test,temperature_bin,,,,,,,,,,,18-20,621.0,82.8
test,temperature_bin,,,,,,,,,,,20-22,57.0,7.6
test,temperature_bin,,,,,,,,,,,22-24,0.0,0.0
test,temperature_bin,,,,,,,,,,,24-26,0.0,0.0
test,temperature_bin,,,,,,,,,,,26-28,0.0,0.0
test,temperature_bin,,,,,,,,,,,28-30,0.0,0.0
test,temperature_bin,,,,,,,,,,,30-32,0.0,0.0
